Категория	Место	Код	Приоритет	Вид испытания	Математика	Информатика	Русский язык	ИД	Балл ВИ	Балл ВИ+ИД	Преимущественное право	Основной высший приоритет	Высший проходной приоритет	Согласие	Олимпиада
Общий конкурс	345	1985772	5	ЕГЭ	99	93	94	5	286	291	нет	да	нет	нет	
Общий конкурс	346	1078427	1	ЕГЭ	98	98	91	4	287	291	нет	да	нет	нет	
Общий конкурс	347	1456409	4	ЕГЭ	97	98	86	10	281	291	нет	да	нет	нет	
Общий конкурс	348	1201641	5	ЕГЭ	97	98	89	7	284	291	нет	да	нет	нет	
Общий конкурс	349	1633431	5	ЕГЭ	97	98	91	5	286	291	нет	да	нет	нет	
Общий конкурс	350	1843188	5	ЕГЭ	97	98	94	2	289	291	нет	да	нет	нет	
Общий конкурс	351	1849742	4	ЕГЭ	96	93	97	5	286	291	нет	да	нет	нет	
Общий конкурс	352	1655101	4	ЕГЭ	95	95	91	10	281	291	нет	нет	нет	нет	
Общий конкурс	353	1627115	5	ЕГЭ	94	100	94	3	288	291	нет	да	нет	нет	
Общий конкурс	354	1429321	4	ЕГЭ	94	93	94	10	281	291	нет	да	нет	нет	
Общий конкурс	355	1716926	2	ЕГЭ	100	93	94	3	287	290	нет	нет	нет	нет	
Общий конкурс	356	1787644	4	ЕГЭ	100	93	94	3	287	290	нет	нет	нет	нет	
Общий конкурс	357	1401785	3	ЕГЭ	100	90	97	3	287	290	нет	нет	нет	нет	
Общий конкурс	358	1758275	2	ВИ	100	83	100	7	283	290	нет	нет	нет	да	
Общий конкурс	359	1482346	2	ЕГЭ	99	100	91	0	290	290	нет	нет	нет	нет	
Общий конкурс	360	1794168	5	ЕГЭ	95	95	97	3	287	290	нет	нет	нет	нет	
Общий конкурс	361	1436709	1	ЕГЭ	94	93	100	3	287	290	нет	нет	нет	нет	
Общий конкурс	362	1418549	5	ЕГЭ	92	98	97	3	287	290	нет	нет	нет	нет	
Общий конкурс	363	1906436	2	ЕГЭ	92	98	100	0	290	290	нет	нет	нет	нет	
Общий конкурс	364	1133353	5	ЕГЭ	100	100	89	0	289	289	нет	нет	нет	нет	
Общий конкурс	365	1360455	4	ВИ	100	100	89	0	289	289	нет	нет	нет	да	
Общий конкурс	366	1420475	4	ЕГЭ	100	98	86	5	284	289	нет	нет	нет	нет	
Общий конкурс	367	1639463	4	ЕГЭ	100	98	86	5	284	289	нет	нет	нет	нет	
Общий конкурс	368	1357333	5	ВИ	100	95	89	5	284	289	нет	нет	нет	да	
Общий конкурс	369	1855268	1	ЕГЭ	100	95	91	3	286	289	нет	нет	нет	нет	
Общий конкурс	370	1215792	3	ЕГЭ	100	90	94	5	284	289	нет	нет	нет	нет	
Общий конкурс	371	1580624	5	ЕГЭ	98	100	81	10	279	289	нет	нет	нет	нет	
Общий конкурс	372	1760422	4	ЕГЭ	98	95	94	2	287	289	нет	нет	нет	нет	
Общий конкурс	373	1461576	3	ЕГЭ	97	98	89	5	284	289	нет	нет	нет	нет	
Общий конкурс	374	1455972	5	ЕГЭ	97	98	94	0	289	289	нет	нет	нет	нет	
Общий конкурс	375	988228	4	ЕГЭ	97	88	97	7	282	289	нет	нет	нет	нет	
Общий конкурс	376	1653244	4	ЕГЭ	95	95	89	10	279	289	нет	нет	нет	нет	
Общий конкурс	377	1514024	1	ЕГЭ	94	98	97	0	289	289	нет	нет	нет	нет	
Общий конкурс	378	1581196	4	ЕГЭ	94	95	97	3	286	289	нет	нет	нет	нет	
Общий конкурс	379	2033187	4	ЕГЭ	94	93	97	5	284	289	нет	нет	нет	нет	
Общий конкурс	380	1630930	5	ЕГЭ	92	90	97	10	279	289	нет	нет	нет	нет	
Общий конкурс	381	2044480	5	ЕГЭ	90	93	100	5	283	288	да	нет	нет	нет	
Общий конкурс	382	1612262	5	ВИ	100	100	78	10	278	288	нет	нет	нет	да	
Общий конкурс	383	1518721	5	ВИ	99	100	89	0	288	288	нет	нет	нет	нет	
Общий конкурс	384	1624951	3	ВИ	97	100	86	5	283	288	нет	нет	нет	нет	
Общий конкурс	385	1509093	5	ЕГЭ	97	98	93	0	288	288	нет	нет	нет	нет	
Общий конкурс	386	1633323	4	ЕГЭ	96	100	89	3	285	288	нет	нет	нет	нет	
Общий конкурс	387	1327388	1	ЕГЭ	96	93	94	5	283	288	нет	нет	нет	да	
Общий конкурс	388	1797881	1	ЕГЭ	95	100	89	4	284	288	нет	нет	нет	нет	
