Образовательная программа	Количество мест	Дата обновления	№ п/п	Уникальный идентификатор абитуриента	Право поступления без вступительных испытаний	Основание БВИ	Приоритет зачисления	Наличие согласия на зачисление	ВИ 1	ВИ 2	ВИ 3	Сумма баллов за вступительные испытания	Сумма баллов по индивидуальным достижениям	Сумма конкурсных баллов	Все оценки положительные	Статус заявления	Преимущественное право п.9	Преимущественное право п.10	Требуется общежитие на время обучения	Возврат документов
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	37	1496602	-		2	-	100	95	94	289	9	298	Да	Участвует в конкурсе	-	-	-	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	38	1482996	-		2	-	94	100	94	288	10	298	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	39	1207871	-		2	-	100	93	94	287	10	297	Да	Отозвано поступающим	-	-	Да	Да
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	40	1408739	-		4	-	95	98	94	287	10	297	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	41	1074287	-		2	-	99	100	94	293	3	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	42	2107459	-		4	Да	98	98	97	293	3	296	Да	На рассмотрении	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	43	1986573	-		2	-	98	98	97	293	3	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	44	1580750	-		2	-	96	98	97	291	5	296	Да	Участвует в конкурсе	-	-	-	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	45	1272720	-		2	-	94	100	97	291	5	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	46	984462	-		10	-	100	93	97	290	6	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	47	1649266	-		1	-	100	95	94	289	7	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	48	1612531	-		3	-	100	95	91	286	10	296	Да	Участвует в конкурсе	-	-	-	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	49	1357616	-		2	-	100	95	91	286	10	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	50	1357616	-		2	-	-	-	-	286	10	296	Да	Отозвано поступающим	-	-	Да	Да
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	51	1915374	Да	Диплом олимпиады	5	-	94	78	86	258	9	267	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	52	1521429	Да	Диплом олимпиады	4	-	96	98	100	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	53	1599013	Да	Диплом олимпиады	1	-	72	90	78	240	7	247	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	54	1250773	Да	Диплом олимпиады	1	Да	100	93	91	284	3	287	Да	Участвует в конкурсе	-	-	-	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	55	2025450	Да	Диплом олимпиады	1	-	100	62	72	234	3	237	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	56	1323902	Да	Диплом олимпиады	1	Да	97	88	94	279	5	284	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	57	1949248	Да	Диплом олимпиады	1	Да	100	83	72	255	5	260	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	58	1618150	-		2	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	-	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	59	1854838	-		4	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	60	2001539	-		4	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	61	1823789	-		2	-	97	100	97	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	62	1334839	-		1	-	100	100	100	300	3	303	Да	Участвует в конкурсе	-	-	-	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	63	1484288	-		1	-	100	98	100	298	5	303	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	64	1533512	-		2	-	100	100	94	294	9	303	Да	Участвует в конкурсе	-	-	-	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	65	1210337	-		4	-	100	100	97	297	5	300	Да	Отозвано поступающим	-	-	Да	Да
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	66	1129308	-		3	-	100	100	97	297	5	302	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	67	1491745	-		3	-	100	98	94	292	10	302	Да	Участвует в конкурсе	-	-	-	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	68	1255677	-		2	-	100	98	94	292	10	302	Да	Участвует в конкурсе	-	-	-	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	69	2005384	-		5	-	97	95	100	292	10	302	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	70	1502047	-		4	Да	98	100	100	298	3	301	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	71	1628551	-		1	-	99	100	97	296	5	301	Да	Участвует в конкурсе	-	-	-	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	72	1443240	-		5	-	99	100	94	293	8	301	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	73	1535558	-		5	-	100	100	91	291	10	301	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	74	1455709	-		4	-	100	98	97	295	5	300	Да	Участвует в конкурсе	-	-	Да	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	75	1413259	-		2	-	98	100	97	295	5	300	Да	Участвует в конкурсе	-	-	-	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	76	1723173	-		3	-	100	93	100	293	7	300	Да	Участвует в конкурсе	-	-	-	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	77	1586111	-		2	-	99	98	97	294	5	299	Да	Участвует в конкурсе	-	-	-	-
Прикладной анализ данных и искусственный интеллект	24	16.07.2026 17:48	78	1188080	-		1	-	97	98	97	292	7	299	Да	Участвует в конкурсе	-	-	Да	-
