Категория	Место	Код	Приоритет	Вид испытания	Математика	Информатика	Русский язык	ИД	Балл ВИ	Балл ВИ+ИД	Преимущественное право	Основной высший приоритет	Высший проходной приоритет	Согласие	Олимпиада
Особая квота	54	1566496	3	ЕГЭ	97	85	81	5	263	268	нет	нет	нет	нет	
Особая квота	55	1177122	3	ЕГЭ	80	95	89	0	264	264	нет	нет	нет	нет	
Особая квота	56	989247	1	ЕГЭ	88	85	83	7	256	263	нет	да	да	да	
Особая квота	57	1334165	4	ЕГЭ	88	83	91	0	262	262	нет	нет	нет	нет	
Особая квота	58	1442323	1	ЕГЭ	90	83	81	3	254	257	нет	да	нет	нет	
Особая квота	59	1178970	2	ЕГЭ	88	85	83	0	256	256	нет	да	нет	нет	
Особая квота	60	997401	2	ЕГЭ	68	93	87	6	248	254	да	нет	нет	да	
Особая квота	61	1234852	4	ЕГЭ	90	75	83	3	248	251	нет	нет	нет	да	
Особая квота	62	1846736	2	ЕГЭ	86	78	81	3	245	248	нет	да	нет	нет	
Особая квота	63	1625448	4	ЕГЭ	94	70	83	0	247	247	нет	нет	нет	нет	
Особая квота	64	1447639	3	ЕГЭ	95	78	69	2	242	244	нет	нет	нет	нет	
Особая квота	65	1184848	1	ЕГЭ	86	70	86	2	242	244	нет	нет	нет	нет	
Особая квота	66	1367609	2	ЕГЭ	78	88	75	0	241	241	нет	нет	нет	нет	
Особая квота	67	1911953	3	ЕГЭ	88	85	67	0	240	240	нет	нет	нет	нет	
Особая квота	68	1076573	1	ЕГЭ	84	70	70	4	224	228	нет	нет	нет	нет	
Особая квота	69	1477035	3	ЕГЭ	80	78	69	0	227	227	нет	нет	нет	нет	
Особая квота	70	993332	1	ЕГЭ	74	70	83	0	227	227	нет	нет	нет	нет	
Особая квота	71	1624573	2	ЕГЭ	80	83	60	2	223	225	нет	нет	нет	нет	
Особая квота	72	1625507	5	ЕГЭ	82	78	64	0	224	224	нет	нет	нет	нет	
Особая квота	73	1698120	5	ЕГЭ	80	70	73	0	223	223	нет	нет	нет	нет	
Особая квота	74	1613530	1	ЕГЭ	72	72	78	0	222	222	нет	нет	да	да	
Особая квота	75	1489615	3	ВИ	76	70	68	0	214	214	нет	нет	нет	нет	
Особая квота	76	1526187	3	ЕГЭ	70	70	72	0	212	212	нет	нет	нет	нет	
Особая квота	77	1287431	3	ЕГЭ	70	64	70	2	204	206	нет	нет	нет	нет	
Особая квота	78	1652065	1	ВИ			92	0	192	192	нет	нет	да	да	
Особая квота	79	1913227	2	ВИ	90		88	0	178	178	нет	нет	нет	нет	
Особая квота	80	1558917	1	ЕГЭ	52	56	54	0	162	162	нет	нет	нет	нет	
Особая квота	81	1947499	1	ВИ	80		72	0	152	152	нет	нет	нет	нет	
Особая квота	82	1199148	4	ВИ	70		69	0	139	139	нет	нет	нет	нет	
Особая квота	83	1771835	3	ВИ	40		58	0	98	98	нет	нет	нет	нет	
Особая квота	84	1652354	2	ВИ			52	3	52	55	нет	нет	нет	нет	
Особая квота	85	938277	5	ВИ	10	5	32	0	47	47	нет	нет	нет	нет	
Особая квота	86	1978546	4	ВИ				2	0	2	нет	нет	нет	нет	
Особая квота	87	1363354	3	ВИ				0	0	0	нет	нет	нет	нет	
Отдельная квота	88	957522	1	Без прохождения вступительных испытаний				5	0		нет	да	да	да	
Отдельная квота	89	1337967	3	Без прохождения вступительных испытаний				3	0		нет	нет	нет	нет	
Отдельная квота	90	1181188	4	Без прохождения вступительных испытаний				3	0		нет	нет	нет	нет	
Отдельная квота	91	1105535	2	Без прохождения вступительных испытаний				2	0		да	нет	нет	нет	
Отдельная квота	92	1438905	2	Без прохождения вступительных испытаний				2	0		нет	нет	нет	нет	
Отдельная квота	93	1166947	4	Без прохождения вступительных испытаний				2	0		нет	нет	нет	да	
Отдельная квота	94	831311	1	Без прохождения вступительных испытаний				0	0		да	да	нет	нет	
Отдельная квота	95	939172	2	Без прохождения вступительных испытаний				0	0		да	нет	нет	нет	
Отдельная квота	96	1524140	3	Без прохождения вступительных испытаний				0	0		нет	нет	нет	нет	
Отдельная квота	97	1395697	5	Без прохождения вступительных испытаний				0	0		нет	нет	нет	нет	
Отдельная квота	98	1366270	5	Без прохождения вступительных испытаний				0	0		нет	нет	нет	нет	
Отдельная квота	99	1050918	4	Без прохождения вступительных испытаний				0	0		нет	нет	нет	нет	
Отдельная квота	100	1355635	4	Без прохождения вступительных испытаний				0	0		нет	нет	нет	да	
