Категория	Место	Код	Приоритет	Вид испытания	Математика	Информатика	Русский язык	ИД	Балл ВИ	Балл ВИ+ИД	Преимущественное право	Основной высший приоритет	Высший проходной приоритет	Согласие	Олимпиада
Без вступительных испытаний	60	1212850	1					6				да	да	да	Санкт-Петербургская олимпиада школьников I ур., призер 2026
Без вступительных испытаний	61	1630771	1					6				да	да	да	Олимпиада школьников Санкт-Петербургского государственного университета I ур., призер 2026
Без вступительных испытаний	62	1423265	1					3				да	да	да	Олимпиада школьников по информатике и программированию I ур., призер 2026
Без вступительных испытаний	63	1837757	1					3				да	да	да	Вузовско-академическая олимпиада по информатике I ур., призер 2026
Без вступительных испытаний	64	1260536	1					3				да	да	да	Всероссийская олимпиада школьников "Высшая проба" I ур., призер 2026
Без вступительных испытаний	65	1634600	1					3				да	да	да	Олимпиада школьников Санкт-Петербургского государственного университета I ур., призер 2026
Без вступительных испытаний	66	1498517	1					3				да	да	да	Всероссийская олимпиада школьников "Высшая проба" I ур., призер 2026
Без вступительных испытаний	67	1438943	1					3				да	да	да	Олимпиада школьников по информатике и программированию I ур., призер 2026
Без вступительных испытаний	68	1870807	1					3				да	да	да	Всесибирская открытая олимпиада школьников I ур., призер 2025
Без вступительных испытаний	69	1647738	1					3				да	да	да	Олимпиада школьников по информатике и программированию I ур., призер 2026
Без вступительных испытаний	70	1210045	1					0				да	да	да	Олимпиада школьников Санкт-Петербургского государственного университета I ур., призер 2025
Без вступительных испытаний	71	2122362	1					0				да	да	да	Московская олимпиада школьников I ур., призер 2026
Без вступительных испытаний	72	1202571	1					0				да	да	да	Олимпиада школьников Санкт-Петербургского государственного университета I ур., призер 2026
Без вступительных испытаний	73	1314364	1					0				да	да	да	Московская олимпиада школьников I ур., призер 2025
Без вступительных испытаний	74	1709272	1					0				да	да	да	Московская олимпиада школьников I ур., призер 2026
Без вступительных испытаний	75	1175955	1					0				да	да	да	Олимпиада школьников по информатике и программированию I ур., призер 2026
Без вступительных испытаний	76	1360455	1					0				да	да	да	Московская олимпиада школьников I ур., призер 2025
Без вступительных испытаний	77	1353034	1					0				да	да	да	Всероссийская олимпиада школьников "Высшая проба" I ур., призер 2026
Без вступительных испытаний	78	1402231	1					0				да	да	да	Олимпиада школьников по информатике и программированию I ур., призер 2026
Без вступительных испытаний	79	1626104	1					0				да	да	да	Олимпиада школьников по информатике и программированию I ур., призер 2025
Без вступительных испытаний	80	1155968	1					0				да	да	да	Московская олимпиада школьников I ур., призер 2026
Без вступительных испытаний	81	1425329	1					0				да	да	да	Олимпиада школьников по информатике и программированию I ур., призер 2026
Без вступительных испытаний	82	1123416	1					0				да	да	да	Санкт-Петербургская олимпиада школьников I ур., призер 2026
Без вступительных испытаний	83	1141614	1					0				да	да	да	Санкт-Петербургская олимпиада школьников I ур., призер 2025
Без вступительных испытаний	84	1212555	1					0				да	да	да	Олимпиада школьников по информатике и программированию I ур., призер 2026
Без вступительных испытаний	85	1727514	1					0				да	да	да	Олимпиада школьников по информатике и программированию I ур., призер 2026
Без вступительных испытаний	86	1525016	1					0				да	да	да	Всесибирская открытая олимпиада школьников I ур., призер 2025
Без вступительных испытаний	87	1206301	1					0				да	да	да	Всесибирская открытая олимпиада школьников I ур., призер 2025
Без вступительных испытаний	88	1498054	1					10				да	да	да	Всесибирская открытая олимпиада школьников II ур., победитель 2026
Без вступительных испытаний	89	2074743	1					10				да	да	да	Всесибирская открытая олимпиада школьников II ур., победитель 2025
Без вступительных испытаний	90	1000501	1					10				да	да	да	Всесибирская открытая олимпиада школьников II ур., победитель 2025
Без вступительных испытаний	91	1394449	1					10				да	да	да	Объединенная межвузовская математическая/физическая олимпиада школьников II ур., победитель 2026
Без вступительных испытаний	92	1780456	1					10				да	да	да	Олимпиада школьников "Физтех" II ур., победитель 2025
Без вступительных испытаний	93	1533512	1					9				да	да	да	Олимпиада школьников "Физтех" II ур., победитель 2026
Без вступительных испытаний	94	1255677	1					9				да	да	да	Олимпиада школьников "Физтех" II ур., победитель 2026
Без вступительных испытаний	95	1560698	1					7				да	да	да	Турнир имени М.В. Ломоносова II ур., победитель 2025
Без вступительных испытаний	96	1182577	1					6				да	да	да	Объединенная межвузовская математическая/физическая олимпиада школьников II ур., победитель 2026
Без вступительных испытаний	97	1420184	1					5				да	да	да	Всесибирская открытая олимпиада школьников II ур., победитель 2026
Без вступительных испытаний	98	1442454	1					3				да	да	да	Олимпиада школьников "Физтех" II ур., победитель 2025
Без вступительных испытаний	99	1145538	1					0				да	да	да	Олимпиада школьников "Физтех" II ур., победитель 2026
Без вступительных испытаний	100	1002792	1					0				да	да	да	Объединенная межвузовская математическая/физическая олимпиада школьников II ур., победитель 2026
Без вступительных испытаний	101	1793169	1					0				да	да	да	"Формула Единства"/"Третье тысячелетие" II ур., победитель 2026
Без вступительных испытаний	102	1166577	1					0				да	да	да	Турнир имени М.В. Ломоносова II ур., победитель 2026
Без вступительных испытаний	103	1724641	1					10				да	да	да	Турнир имени М.В. Ломоносова II ур., призер 2026
Без вступительных испытаний	104	1908139	1					10				да	да	да	Турнир имени М.В. Ломоносова II ур., призер 2026
Без вступительных испытаний	105	1277589	1					10				да	да	да	Всесибирская открытая олимпиада школьников II ур., призер 2026
Без вступительных испытаний	106	1357369	1					9				да	да	да	Международная олимпиада "Innopolis Open" II ур., призер 2026
Без вступительных испытаний	107	1414707	1					8				да	да	да	Турнир имени М.В. Ломоносова II ур., призер 2026
Без вступительных испытаний	108	1516183	1					7				да	да	да	Олимпиада Юношеской математической школы II ур., призер 2026
Без вступительных испытаний	109	1344135	1					6				да	да	да	Турнир имени М.В. Ломоносова II ур., призер 2026
Без вступительных испытаний	110	1172819	1					6				да	да	да	Турнир имени М.В. Ломоносова II ур., призер 2026
Без вступительных испытаний	111	1155745	1					6				да	да	да	Турнир имени М.В. Ломоносова II ур., призер 2026
Без вступительных испытаний	112	1203206	1					5				да	да	да	Олимпиада Юношеской математической школы II ур., призер 2026
Без вступительных испытаний	113	1343817	1					3				да	да	да	Всесибирская открытая олимпиада школьников II ур., призер 2026
Без вступительных испытаний	114	1441539	1					3				да	да	да	Олимпиада Юношеской математической школы II ур., призер 2026
Без вступительных испытаний	115	1975633	1					2				да	да	да	Турнир имени М.В. Ломоносова II ур., призер 2026
Без вступительных испытаний	116	1955721	1					0				да	да	да	Турнир имени М.В. Ломоносова II ур., призер 2026
Без вступительных испытаний	117	1364658	1					0				да	да	да	Турнир имени М.В. Ломоносова II ур., призер 2026
Без вступительных испытаний	118	1290131	1					0				да	да	да	Турнир имени М.В. Ломоносова II ур., призер 2026
Без вступительных испытаний	119	1261286	1					0				да	да	да	Олимпиада Юношеской математической школы II ур., призер 2026
Без вступительных испытаний	120	1326754	1					0				да	да	да	Всесибирская открытая олимпиада школьников II ур., призер 2026
Без вступительных испытаний	121	1050098	1					0				да	да	да	Турнир имени М.В. Ломоносова II ур., призер 2026
Без вступительных испытаний	122	1125319	1					0				да	да	да	Турнир имени М.В. Ломоносова II ур., призер 2026
Без вступительных испытаний	123	1609871	1					10				да	да	да	Открытая олимпиада школьников III ур., победитель 2025
Без вступительных испытаний	124	1420352	1					10				да	да	да	Всероссийская междисциплинарная олимпиада школьников 8-11 класса "Национальная технологическая олимпиада" III ур., победитель 2025
Без вступительных испытаний	125	1132802	1					10				да	да	да	Открытая олимпиада школьников III ур., победитель 2026
Без вступительных испытаний	126	1098268	1					3				да	да	да	Всероссийская междисциплинарная олимпиада школьников 8-11 класса "Национальная технологическая олимпиада" III ур., победитель 2026
Целевая квота	127	1814161	1	ЕГЭ	95	90	81	0	266	266	нет	да	да	да	
Особая квота	128	1849297	1	ВИ	100	100	100	5	300	305	нет	да	нет	нет	
Особая квота	129	1718490	2	ВИ	100	100	89	9	289	298	нет	нет	нет	нет	
Особая квота	130	1401780	2	ЕГЭ	96	98	97	3	291	294	нет	нет	нет	нет	
Особая квота	131	1357302	2	ВИ	100	85	100	7	285	292	нет	нет	нет	нет	
Особая квота	132	1393312	1	ЕГЭ	98	95	91	3	284	287	нет	да	нет	нет	
Особая квота	133	1898708	1	ЕГЭ	100	98	83	5	281	286	нет	да	нет	нет	
Особая квота	134	1458143	3	ЕГЭ	99	98	86	3	283	286	нет	нет	нет	нет	
Особая квота	135	1526498	1	ЕГЭ	96	100	83	3	279	282	нет	да	да	да	
Особая квота	136	1557919	1	ЕГЭ	95	90	94	3	279	282	нет	да	нет	нет	
Особая квота	137	1287390	1	ЕГЭ	94	90	86	10	270	280	нет	да	да	да	
Особая квота	138	1214065	1	ВИ	96	83	96	3	275	278	нет	да	нет	нет	
Особая квота	139	1340150	4	ВИ	100	80	96	0	276	276	нет	нет	нет	нет	
Особая квота	140	1713758	1	ЕГЭ	92	90	89	5	271	276	нет	да	нет	нет	
Особая квота	141	1654925	1	ЕГЭ	86	98	89	3	273	276	нет	да	нет	нет	
Особая квота	142	1414943	4	ЕГЭ	86	98	81	10	265	275	нет	нет	нет	нет	
Особая квота	143	1641943	3	ЕГЭ	94	88	89	3	271	274	нет	нет	нет	нет	
Особая квота	144	1289684	1	ВИ	88	100	83	3	271	274	нет	да	нет	нет	
Особая квота	145	1620669	1	ЕГЭ	94	80	89	9	263	272	нет	да	нет	нет	
Особая квота	146	1798672	2	ЕГЭ	92	90	89	0	271	271	нет	нет	нет	да	
Особая квота	147	986890	4	ВИ	84	88	92	7	264	271	нет	нет	нет	да	
Особая квота	148	1855369	1	ЕГЭ	90	80	97	3	267	270	нет	да	нет	нет	
Особая квота	149	1181094	1	ЕГЭ	86	95	86	3	267	270	нет	да	нет	нет	
Особая квота	150	1648454	1	ЕГЭ	98	85	78	7	261	268	нет	да	нет	нет	
Особая квота	151	1408422	2	ЕГЭ	95	85	78	7	258	265	нет	нет	нет	нет	
Особая квота	152	1177122	1	ЕГЭ	80	95	89	0	264	264	нет	да	нет	нет	
Особая квота	153	1366729	2	ЕГЭ	88	83	89	3	260	263	нет	нет	нет	нет	
Особая квота	154	1334165	1	ЕГЭ	88	83	91	0	262	262	нет	да	нет	нет	
Особая квота	155	1852639	1	ЕГЭ	100	88	73	0	261	261	нет	да	нет	нет	
