Образовательная программа	Количество мест	Дата обновления	№ п/п	Уникальный идентификатор абитуриента	Право поступления без вступительных испытаний	Основание БВИ	Приоритет зачисления	Наличие согласия на зачисление	ВИ 1	ВИ 2	ВИ 3	Сумма баллов за вступительные испытания	Сумма баллов по индивидуальным достижениям	Сумма конкурсных баллов	Все оценки положительные	Статус заявления	Преимущественное право п.9	Преимущественное право п.10	Требуется общежитие на время обучения	Возврат документов
Прикладная математика и информатика	24	16.07.2026 17:48	185	1253292	-		7	-	98	98	94	290	8	298	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	186	1496602	-		3	-	100	95	94	289	9	298	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	187	1482996	-		1	-	94	100	94	288	10	298	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	188	1999227	-		1	-	100	100	94	294	3	297	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	189	1897125	-		1	-	99	100	91	290	7	297	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	190	1207871	-		1	-	100	93	94	287	10	297	Да	Отозвано поступающим	-	-	Да	Да
Прикладная математика и информатика	24	16.07.2026 17:48	191	1408739	-		3	-	95	98	94	287	10	297	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	192	1074287	-		1	-	99	100	94	293	3	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	193	2107459	-		2	Да	98	98	97	293	3	296	Да	На рассмотрении	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	194	1986573	-		1	-	98	98	97	293	3	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	195	1580750	-		1	-	96	98	97	291	5	296	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	196	1272720	-		1	-	94	100	97	291	5	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	197	984462	-		11	-	100	93	97	290	6	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	198	1649266	-		2	-	100	95	94	289	7	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	199	1612531	-		2	-	100	95	91	286	10	296	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	200	1357616	-		1	-	100	95	91	286	10	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	201	1494774	Да	Диплом олимпиады	1	Да	86	67	58	211	8	219	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	202	1193494	Да	Диплом олимпиады	1	-	100	90	83	273	3	276	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	203	1517329	Да	Диплом олимпиады	1	Да	100	-	-	183	2	185	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	204	1521429	-		5	-	100	98	100	298	10	308	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	205	1854838	-		3	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	206	2001539	-		3	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	207	1618150	-		1	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	208	1823789	-		1	-	97	100	97	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	209	1334839	-		2	-	100	100	100	300	3	303	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	210	1484288	-		4	-	100	98	100	298	5	303	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	211	1129308	-		2	-	100	100	97	297	5	302	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	212	1210337	-		3	-	100	100	97	297	5	300	Да	Отозвано поступающим	-	-	Да	Да
Прикладная математика и информатика	24	16.07.2026 17:48	213	1255677	-		1	-	100	98	94	292	10	302	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	214	1491745	-		2	-	100	98	94	292	10	302	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	215	2005384	-		4	-	97	95	100	292	10	302	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	216	1502047	-		2	Да	98	100	100	298	3	301	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	217	1443240	-		3	-	99	100	94	293	8	301	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	218	1535558	-		4	-	100	100	91	291	10	301	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	219	1455709	-		3	-	100	98	97	295	5	300	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	220	1413259	-		1	-	98	100	97	295	5	300	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	221	1723173	-		1	-	100	93	100	293	7	300	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	222	2060011	-		3	-	100	93	97	290	10	300	Да	На рассмотрении	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	223	1586111	-		1	-	99	98	97	294	5	299	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	224	1188080	-		4	-	97	98	97	292	7	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	225	1702887	-		1	-	100	100	89	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	226	1911722	-		5	-	100	98	91	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	227	1673245	-		1	-	100	98	91	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	228	1426139	-		3	-	100	95	94	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	229	1046128	-		3	-	92	100	97	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	230	1515716	-		2	-	98	100	100	298	0	298	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	231	1956949	-		2	-	100	98	97	295	3	298	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	232	1382955	-		12	-	100	98	97	295	3	298	Да	Отозвано поступающим	-	-	Да	Да
Прикладная математика и информатика	24	16.07.2026 17:48	233	1624486	-		2	-	98	98	97	293	5	298	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	234	1972145	-		7	-	100	100	91	291	7	298	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	235	1253292	-		7	-	98	98	94	290	8	298	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	236	1496602	-		3	-	100	95	94	289	9	298	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	237	1482996	-		1	-	94	100	94	288	10	298	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	238	1999227	-		1	-	100	100	94	294	3	297	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	239	1897125	-		1	-	99	100	91	290	7	297	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	240	1207871	-		1	-	100	93	94	287	10	297	Да	Отозвано поступающим	-	-	Да	Да
Прикладная математика и информатика	24	16.07.2026 17:48	241	1408739	-		3	-	95	98	94	287	10	297	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	242	1074287	-		1	-	99	100	94	293	3	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	243	2107459	-		2	Да	98	98	97	293	3	296	Да	На рассмотрении	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	244	1986573	-		1	-	98	98	97	293	3	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	245	1580750	-		1	-	96	98	97	291	5	296	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	246	1272720	-		1	-	94	100	97	291	5	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	247	984462	-		11	-	100	93	97	290	6	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	248	1649266	-		2	-	100	95	94	289	7	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	249	1612531	-		2	-	100	95	91	286	10	296	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	250	1357616	-		1	-	100	95	91	286	10	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	251	1494774	Да	Диплом олимпиады	1	Да	86	67	58	211	8	219	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	252	1193494	Да	Диплом олимпиады	1	-	100	90	83	273	3	276	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	253	1517329	Да	Диплом олимпиады	1	Да	100	-	-	183	2	185	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	254	1521429	-		5	-	100	98	100	298	10	308	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	255	1854838	-		3	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	256	2001539	-		3	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	257	1618150	-		1	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	258	1823789	-		1	-	97	100	97	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	259	1334839	-		2	-	100	100	100	300	3	303	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	260	1484288	-		4	-	100	98	100	298	5	303	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	261	1129308	-		2	-	100	100	97	297	5	302	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	262	1210337	-		3	-	100	100	97	297	5	300	Да	Отозвано поступающим	-	-	Да	Да
Прикладная математика и информатика	24	16.07.2026 17:48	263	1255677	-		1	-	100	98	94	292	10	302	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	264	1491745	-		2	-	100	98	94	292	10	302	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	265	2005384	-		4	-	97	95	100	292	10	302	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	266	1502047	-		2	Да	98	100	100	298	3	301	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	267	1443240	-		3	-	99	100	94	293	8	301	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	268	1535558	-		4	-	100	100	91	291	10	301	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	269	1455709	-		3	-	100	98	97	295	5	300	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	270	1413259	-		1	-	98	100	97	295	5	300	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	271	1723173	-		1	-	100	93	100	293	7	300	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	272	2060011	-		3	-	100	93	97	290	10	300	Да	На рассмотрении	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	273	1586111	-		1	-	99	98	97	294	5	299	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	274	1188080	-		4	-	97	98	97	292	7	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	275	1702887	-		1	-	100	100	89	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	276	1911722	-		5	-	100	98	91	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	277	1673245	-		1	-	100	98	91	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	278	1426139	-		3	-	100	95	94	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	279	1046128	-		3	-	92	100	97	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	280	1515716	-		2	-	98	100	100	298	0	298	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	281	1956949	-		2	-	100	98	97	295	3	298	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	282	1382955	-		12	-	100	98	97	295	3	298	Да	Отозвано поступающим	-	-	Да	Да
Прикладная математика и информатика	24	16.07.2026 17:48	283	1624486	-		2	-	98	98	97	293	5	298	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	284	1972145	-		7	-	100	100	91	291	7	298	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	285	1253292	-		7	-	98	98	94	290	8	298	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	286	1496602	-		3	-	100	95	94	289	9	298	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	287	1482996	-		1	-	94	100	94	288	10	298	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	288	1999227	-		1	-	100	100	94	294	3	297	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	289	1897125	-		1	-	99	100	91	290	7	297	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	290	1207871	-		1	-	100	93	94	287	10	297	Да	Отозвано поступающим	-	-	Да	Да
Прикладная математика и информатика	24	16.07.2026 17:48	291	1408739	-		3	-	95	98	94	287	10	297	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	292	1074287	-		1	-	99	100	94	293	3	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	293	2107459	-		2	Да	98	98	97	293	3	296	Да	На рассмотрении	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	294	1986573	-		1	-	98	98	97	293	3	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	295	1580750	-		1	-	96	98	97	291	5	296	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	296	1272720	-		1	-	94	100	97	291	5	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	297	984462	-		11	-	100	93	97	290	6	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	298	1649266	-		2	-	100	95	94	289	7	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	299	1612531	-		2	-	100	95	91	286	10	296	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	300	1357616	-		1	-	100	95	91	286	10	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	301	1494774	Да	Диплом олимпиады	1	Да	86	67	58	211	8	219	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	302	1193494	Да	Диплом олимпиады	1	-	100	90	83	273	3	276	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	303	1517329	Да	Диплом олимпиады	1	Да	100	-	-	183	2	185	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	304	1521429	-		5	-	100	98	100	298	10	308	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	305	1854838	-		3	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	306	2001539	-		3	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	307	1618150	-		1	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	308	1823789	-		1	-	97	100	97	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	309	1334839	-		2	-	100	100	100	300	3	303	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	310	1484288	-		4	-	100	98	100	298	5	303	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	311	1129308	-		2	-	100	100	97	297	5	302	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	312	1210337	-		3	-	100	100	97	297	5	300	Да	Отозвано поступающим	-	-	Да	Да
Прикладная математика и информатика	24	16.07.2026 17:48	313	1255677	-		1	-	100	98	94	292	10	302	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	314	1491745	-		2	-	100	98	94	292	10	302	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	315	2005384	-		4	-	97	95	100	292	10	302	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	316	1502047	-		2	Да	98	100	100	298	3	301	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	317	1443240	-		3	-	99	100	94	293	8	301	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	318	1535558	-		4	-	100	100	91	291	10	301	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	319	1455709	-		3	-	100	98	97	295	5	300	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	320	1413259	-		1	-	98	100	97	295	5	300	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	321	1723173	-		1	-	100	93	100	293	7	300	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	322	2060011	-		3	-	100	93	97	290	10	300	Да	На рассмотрении	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	323	1586111	-		1	-	99	98	97	294	5	299	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	324	1188080	-		4	-	97	98	97	292	7	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	325	1702887	-		1	-	100	100	89	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	326	1911722	-		5	-	100	98	91	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	327	1673245	-		1	-	100	98	91	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	328	1426139	-		3	-	100	95	94	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	329	1046128	-		3	-	92	100	97	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	330	1515716	-		2	-	98	100	100	298	0	298	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	331	1956949	-		2	-	100	98	97	295	3	298	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	332	1382955	-		12	-	100	98	97	295	3	298	Да	Отозвано поступающим	-	-	Да	Да
Прикладная математика и информатика	24	16.07.2026 17:48	333	1624486	-		2	-	98	98	97	293	5	298	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	334	1972145	-		7	-	100	100	91	291	7	298	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	335	1253292	-		7	-	98	98	94	290	8	298	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	336	1496602	-		3	-	100	95	94	289	9	298	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	337	1482996	-		1	-	94	100	94	288	10	298	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	338	1999227	-		1	-	100	100	94	294	3	297	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	339	1897125	-		1	-	99	100	91	290	7	297	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	340	1207871	-		1	-	100	93	94	287	10	297	Да	Отозвано поступающим	-	-	Да	Да
Прикладная математика и информатика	24	16.07.2026 17:48	341	1408739	-		3	-	95	98	94	287	10	297	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	342	1074287	-		1	-	99	100	94	293	3	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	343	2107459	-		2	Да	98	98	97	293	3	296	Да	На рассмотрении	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	344	1986573	-		1	-	98	98	97	293	3	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	345	1580750	-		1	-	96	98	97	291	5	296	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	346	1272720	-		1	-	94	100	97	291	5	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	347	984462	-		11	-	100	93	97	290	6	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	348	1649266	-		2	-	100	95	94	289	7	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	349	1612531	-		2	-	100	95	91	286	10	296	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	350	1357616	-		1	-	100	95	91	286	10	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	351	1494774	Да	Диплом олимпиады	1	Да	86	67	58	211	8	219	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	352	1193494	Да	Диплом олимпиады	1	-	100	90	83	273	3	276	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	353	1517329	Да	Диплом олимпиады	1	Да	100	-	-	183	2	185	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	354	1521429	-		5	-	100	98	100	298	10	308	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	355	1854838	-		3	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	356	2001539	-		3	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	357	1618150	-		1	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	358	1823789	-		1	-	97	100	97	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	359	1334839	-		2	-	100	100	100	300	3	303	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	360	1484288	-		4	-	100	98	100	298	5	303	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	361	1129308	-		2	-	100	100	97	297	5	302	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	362	1210337	-		3	-	100	100	97	297	5	300	Да	Отозвано поступающим	-	-	Да	Да
Прикладная математика и информатика	24	16.07.2026 17:48	363	1255677	-		1	-	100	98	94	292	10	302	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	364	1491745	-		2	-	100	98	94	292	10	302	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	365	2005384	-		4	-	97	95	100	292	10	302	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	366	1502047	-		2	Да	98	100	100	298	3	301	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	367	1443240	-		3	-	99	100	94	293	8	301	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	368	1535558	-		4	-	100	100	91	291	10	301	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	369	1455709	-		3	-	100	98	97	295	5	300	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	370	1413259	-		1	-	98	100	97	295	5	300	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	371	1723173	-		1	-	100	93	100	293	7	300	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	372	2060011	-		3	-	100	93	97	290	10	300	Да	На рассмотрении	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	373	1586111	-		1	-	99	98	97	294	5	299	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	374	1188080	-		4	-	97	98	97	292	7	299	Да	Участвует в конкурсе	-	-	Да	-
