Образовательная программа	Количество мест	Дата обновления	№ п/п	Уникальный идентификатор абитуриента	Право поступления без вступительных испытаний	Основание БВИ	Приоритет зачисления	Наличие согласия на зачисление	ВИ 1	ВИ 2	ВИ 3	Сумма баллов за вступительные испытания	Сумма баллов по индивидуальным достижениям	Сумма конкурсных баллов	Все оценки положительные	Статус заявления	Преимущественное право п.9	Преимущественное право п.10	Требуется общежитие на время обучения	Возврат документов
Прикладная математика и информатика	24	16.07.2026 17:48	42	1074287	-		1	-	99	100	94	293	3	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	43	2107459	-		2	Да	98	98	97	293	3	296	Да	На рассмотрении	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	44	1986573	-		1	-	98	98	97	293	3	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	45	1580750	-		1	-	96	98	97	291	5	296	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	46	1272720	-		1	-	94	100	97	291	5	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	47	984462	-		11	-	100	93	97	290	6	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	48	1649266	-		2	-	100	95	94	289	7	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	49	1612531	-		2	-	100	95	91	286	10	296	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	50	1357616	-		1	-	100	95	91	286	10	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	51	1494774	Да	Диплом олимпиады	1	Да	86	67	58	211	8	219	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	52	1193494	Да	Диплом олимпиады	1	-	100	90	83	273	3	276	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	53	1517329	Да	Диплом олимпиады	1	Да	100	-	-	183	2	185	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	54	1521429	-		5	-	100	98	100	298	10	308	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	55	1854838	-		3	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	56	2001539	-		3	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	57	1618150	-		1	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	58	1823789	-		1	-	97	100	97	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	59	1334839	-		2	-	100	100	100	300	3	303	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	60	1484288	-		4	-	100	98	100	298	5	303	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	61	1129308	-		2	-	100	100	97	297	5	302	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	62	1210337	-		3	-	100	100	97	297	5	300	Да	Отозвано поступающим	-	-	Да	Да
Прикладная математика и информатика	24	16.07.2026 17:48	63	1255677	-		1	-	100	98	94	292	10	302	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	64	1491745	-		2	-	100	98	94	292	10	302	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	65	2005384	-		4	-	97	95	100	292	10	302	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	66	1502047	-		2	Да	98	100	100	298	3	301	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	67	1443240	-		3	-	99	100	94	293	8	301	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	68	1535558	-		4	-	100	100	91	291	10	301	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	69	1455709	-		3	-	100	98	97	295	5	300	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	70	1413259	-		1	-	98	100	97	295	5	300	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	71	1723173	-		1	-	100	93	100	293	7	300	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	72	2060011	-		3	-	100	93	97	290	10	300	Да	На рассмотрении	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	73	1586111	-		1	-	99	98	97	294	5	299	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	74	1188080	-		4	-	97	98	97	292	7	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	75	1702887	-		1	-	100	100	89	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	76	1911722	-		5	-	100	98	91	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	77	1673245	-		1	-	100	98	91	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	78	1426139	-		3	-	100	95	94	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	79	1046128	-		3	-	92	100	97	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	80	1515716	-		2	-	98	100	100	298	0	298	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	81	1956949	-		2	-	100	98	97	295	3	298	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	82	1382955	-		12	-	100	98	97	295	3	298	Да	Отозвано поступающим	-	-	Да	Да
Прикладная математика и информатика	24	16.07.2026 17:48	83	1624486	-		2	-	98	98	97	293	5	298	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	84	1972145	-		7	-	100	100	91	291	7	298	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	85	1253292	-		7	-	98	98	94	290	8	298	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	86	1496602	-		3	-	100	95	94	289	9	298	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	87	1482996	-		1	-	94	100	94	288	10	298	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	88	1999227	-		1	-	100	100	94	294	3	297	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	89	1897125	-		1	-	99	100	91	290	7	297	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	90	1207871	-		1	-	100	93	94	287	10	297	Да	Отозвано поступающим	-	-	Да	Да
Прикладная математика и информатика	24	16.07.2026 17:48	91	1408739	-		3	-	95	98	94	287	10	297	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	92	1074287	-		1	-	99	100	94	293	3	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	93	2107459	-		2	Да	98	98	97	293	3	296	Да	На рассмотрении	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	94	1986573	-		1	-	98	98	97	293	3	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	95	1580750	-		1	-	96	98	97	291	5	296	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	96	1272720	-		1	-	94	100	97	291	5	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	97	984462	-		11	-	100	93	97	290	6	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	98	1649266	-		2	-	100	95	94	289	7	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	99	1612531	-		2	-	100	95	91	286	10	296	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	100	1357616	-		1	-	100	95	91	286	10	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	101	1494774	Да	Диплом олимпиады	1	Да	86	67	58	211	8	219	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	102	1193494	Да	Диплом олимпиады	1	-	100	90	83	273	3	276	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	103	1517329	Да	Диплом олимпиады	1	Да	100	-	-	183	2	185	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	104	1521429	-		5	-	100	98	100	298	10	308	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	105	1854838	-		3	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	106	2001539	-		3	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	107	1618150	-		1	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	108	1823789	-		1	-	97	100	97	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	109	1334839	-		2	-	100	100	100	300	3	303	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	110	1484288	-		4	-	100	98	100	298	5	303	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	111	1129308	-		2	-	100	100	97	297	5	302	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	112	1210337	-		3	-	100	100	97	297	5	300	Да	Отозвано поступающим	-	-	Да	Да
Прикладная математика и информатика	24	16.07.2026 17:48	113	1255677	-		1	-	100	98	94	292	10	302	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	114	1491745	-		2	-	100	98	94	292	10	302	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	115	2005384	-		4	-	97	95	100	292	10	302	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	116	1502047	-		2	Да	98	100	100	298	3	301	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	117	1443240	-		3	-	99	100	94	293	8	301	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	118	1535558	-		4	-	100	100	91	291	10	301	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	119	1455709	-		3	-	100	98	97	295	5	300	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	120	1413259	-		1	-	98	100	97	295	5	300	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	121	1723173	-		1	-	100	93	100	293	7	300	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	122	2060011	-		3	-	100	93	97	290	10	300	Да	На рассмотрении	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	123	1586111	-		1	-	99	98	97	294	5	299	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	124	1188080	-		4	-	97	98	97	292	7	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	125	1702887	-		1	-	100	100	89	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	126	1911722	-		5	-	100	98	91	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	127	1673245	-		1	-	100	98	91	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	128	1426139	-		3	-	100	95	94	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	129	1046128	-		3	-	92	100	97	289	10	299	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	130	1515716	-		2	-	98	100	100	298	0	298	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	131	1956949	-		2	-	100	98	97	295	3	298	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	132	1382955	-		12	-	100	98	97	295	3	298	Да	Отозвано поступающим	-	-	Да	Да
Прикладная математика и информатика	24	16.07.2026 17:48	133	1624486	-		2	-	98	98	97	293	5	298	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	134	1972145	-		7	-	100	100	91	291	7	298	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	135	1253292	-		7	-	98	98	94	290	8	298	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	136	1496602	-		3	-	100	95	94	289	9	298	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	137	1482996	-		1	-	94	100	94	288	10	298	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	138	1999227	-		1	-	100	100	94	294	3	297	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	139	1897125	-		1	-	99	100	91	290	7	297	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	140	1207871	-		1	-	100	93	94	287	10	297	Да	Отозвано поступающим	-	-	Да	Да
Прикладная математика и информатика	24	16.07.2026 17:48	141	1408739	-		3	-	95	98	94	287	10	297	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	142	1074287	-		1	-	99	100	94	293	3	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	143	2107459	-		2	Да	98	98	97	293	3	296	Да	На рассмотрении	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	144	1986573	-		1	-	98	98	97	293	3	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	145	1580750	-		1	-	96	98	97	291	5	296	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	146	1272720	-		1	-	94	100	97	291	5	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	147	984462	-		11	-	100	93	97	290	6	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	148	1649266	-		2	-	100	95	94	289	7	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	149	1612531	-		2	-	100	95	91	286	10	296	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	150	1357616	-		1	-	100	95	91	286	10	296	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	151	1494774	Да	Диплом олимпиады	1	Да	86	67	58	211	8	219	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	152	1193494	Да	Диплом олимпиады	1	-	100	90	83	273	3	276	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	153	1517329	Да	Диплом олимпиады	1	Да	100	-	-	183	2	185	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	154	1521429	-		5	-	100	98	100	298	10	308	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	155	1854838	-		3	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	156	2001539	-		3	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	157	1618150	-		1	-	100	100	94	294	10	304	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	158	1823789	-		1	-	97	100	97	294	10	304	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	159	1334839	-		2	-	100	100	100	300	3	303	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	160	1484288	-		4	-	100	98	100	298	5	303	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	161	1129308	-		2	-	100	100	97	297	5	302	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	162	1210337	-		3	-	100	100	97	297	5	300	Да	Отозвано поступающим	-	-	Да	Да
Прикладная математика и информатика	24	16.07.2026 17:48	163	1255677	-		1	-	100	98	94	292	10	302	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	164	1491745	-		2	-	100	98	94	292	10	302	Да	Участвует в конкурсе	-	-	-	-
Прикладная математика и информатика	24	16.07.2026 17:48	165	2005384	-		4	-	97	95	100	292	10	302	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	166	1502047	-		2	Да	98	100	100	298	3	301	Да	Участвует в конкурсе	-	-	Да	-
Прикладная математика и информатика	24	16.07.2026 17:48	167	1443240	-		3	-	99	100	94	293	8	301	Да	Участвует в конкурсе	-	-	Да	-
